rate_hz,stage,level_db,g,c1,c2
44100,1,10,0.00640896102,0.994649291,-0.49468562
44100,1,9,0.00564831635,0.994371116,-0.494407475
44100,1,8,0.00492745498,0.994062304,-0.494098604
44100,1,7,0.00424901908,0.993717313,-0.493753642
44100,1,6,0.00361328688,0.993329525,-0.493365824
44100,1,5,0.00299604819,0.992890418,-0.492926687
44100,1,4,0.002397598,0.992389023,-0.492425263
44100,1,3,0.00181575702,0.991811097,-0.491847336
44100,1,2,0.00122641888,0.991137743,-0.491173953
44100,1,1,0.000624362961,0.990343094,-0.490379304
44100,1,0,0,0,0
44100,1,-1,-0.000623584318,0.989108026,-0.489144146
44100,1,-2,-0.00122341805,0.988712609,-0.488748729
44100,1,-3,-0.00180918688,0.988222361,-0.488258481
44100,1,-4,-0.002386156,0.987653017,-0.487689108
44100,1,-5,-0.00297820242,0.986976326,-0.487012416
44100,1,-6,-0.00358736259,0.986202657,-0.486238688
44100,1,-7,-0.00421321485,0.985343814,-0.485379845
44100,1,-8,-0.0048793694,0.98436147,-0.484397471
44100,1,-9,-0.00558522251,0.983263552,-0.483299494
44100,1,-10,-0.00632785121,0.982061267,-0.482097179
44100,2,10,-0.00493704947,0.975822687,-0.476219028
44100,2,9,-0.00432902994,0.977021217,-0.477417976
44100,2,8,-0.00373874791,0.9781847,-0.478581965
44100,2,7,-0.00317825912,0.979289472,-0.479687184
44100,2,6,-0.0026571604,0.980316639,-0.480714738
44100,2,5,-0.00215144153,0.981313467,-0.481711984
44100,2,4,-0.00167141098,0.982259631,-0.482658565
44100,2,3,-0.00122525799,0.983139038,-0.48353833
44100,2,2,-0.00079240388,0.983992279,-0.484391868
44100,2,1,-0.000381655933,0.984801888,-0.485201836
44100,2,0,0,0,0
44100,2,-1,0.000381947466,0.985554159,-0.485954434
44100,2,-2,0.000793661689,0.985554159,-0.485954434
44100,2,-3,0.00122826791,0.985554159,-0.485954434
44100,2,-4,0.00167701696,0.985554159,-0.485954434
44100,2,-5,0.00216073915,0.985554159,-0.485954434
44100,2,-6,0.00267135678,0.985554159,-0.485954434
