rate_hz,band,band_nominal_hz,level_db,b0,b1,b2,a1_negated,a2_negated
44100,1,400,10,0.0303582642,0,-0.0303582642,1.96871865,-0.971920133
44100,1,400,9,0.0268538427,0,-0.0268538427,1.96726501,-0.970464051
44100,1,400,8,0.0235486049,0,-0.0235486049,1.96565235,-0.968848705
44100,1,400,7,0.020410113,0,-0.020410113,1.963853,-0.967046499
44100,1,400,6,0.0174056944,0,-0.0174056944,1.96183264,-0.965022922
44100,1,400,5,0.0148911681,0,-0.0148911681,1.95854819,-0.961733103
44100,1,400,4,0.0122619504,0,-0.0122619504,1.95489216,-0.958071172
44100,1,400,3,0.00956382509,0,-0.00956382509,1.95046234,-0.953634143
44100,1,400,2,0.00683752354,0,-0.00683752354,1.94402409,-0.947185397
44100,1,400,1,0.0037427363,0,-0.0037427363,1.93550551,-0.938652933
44100,1,400,0,0,0,0,0,0
44100,1,400,-1,-0.00372878066,0,0.00372878066,1.92828834,-0.931424141
44100,1,400,-2,-0.0067910892,0,0.0067910892,1.93082213,-0.933961868
44100,1,400,-3,-0.0094732251,0,0.0094732251,1.93198526,-0.93512696
44100,1,400,-4,-0.0121134156,0,0.0121134156,1.93121183,-0.934352219
44100,1,400,-5,-0.0146726752,0,0.0146726752,1.92981112,-0.932949245
44100,1,400,-6,-0.0171079189,0,0.0171079189,1.92826974,-0.931405425
44100,1,400,-7,-0.0200018734,0,0.0200018734,1.92457223,-0.927701831
44100,1,400,-8,-0.0230068266,0,0.0230068266,1.92042875,-0.923551738
44100,1,400,-9,-0.0261515714,0,0.0261515714,1.91581786,-0.918933332
44100,1,400,-10,-0.0294637941,0,0.0294637941,1.91071272,-0.913819849
44100,2,1000,10,0.0741264001,0,-0.0741264001,1.91186643,-0.931436718
44100,2,1000,9,0.0654998496,0,-0.0654998496,1.90842295,-0.927958131
44100,2,1000,8,0.0573702864,0,-0.0573702864,1.90461159,-0.924107671
44100,2,1000,7,0.0496588498,0,-0.0496588498,1.90036964,-0.919822395
44100,2,1000,6,0.0422866046,0,-0.0422866046,1.89562023,-0.915024221
44100,2,1000,5,0.0360912681,0,-0.0360912681,1.88792837,-0.907253683
44100,2,1000,4,0.0296401419,0,-0.0296401419,1.87940955,-0.898647666
44100,2,1000,3,0.0230441056,0,-0.0230441056,1.86914814,-0.888281167
44100,2,1000,2,0.0163987651,0,-0.0163987651,1.85435045,-0.873332143
44100,2,1000,1,0.00892171916,0,-0.00892171916,1.83498108,-0.853764415
44100,2,1000,0,0,0,0,0,0
44100,2,1000,-1,-0.00884282589,0,0.00884282589,1.81875467,-0.837371945
44100,2,1000,-2,-0.0161341839,0,0.0161341839,1.82443213,-0.843107462
44100,2,1000,-3,-0.0225250367,0,0.0225250367,1.82704544,-0.84574759
44100,2,1000,-4,-0.0287868958,0,0.0287868958,1.82530725,-0.843991518
44100,2,1000,-5,-0.0348340608,0,0.0348340608,1.82216418,-0.840816319
44100,2,1000,-6,-0.0405709967,0,0.0405709967,1.81871295,-0.837329745
44100,2,1000,-7,-0.0473095141,0,0.0473095141,1.81046414,-0.828996539
44100,2,1000,-8,-0.0542575158,0,0.0542575158,1.80127215,-0.819710374
44100,2,1000,-9,-0.0614733547,0,0.0614733547,1.79110587,-0.809440076
44100,2,1000,-10,-0.0690108761,0,0.0690108761,1.77992678,-0.798146605
44100,3,2500,10,0.173384532,0,-0.173384532,1.72415864,-0.839627862
44100,3,2500,9,0.152838096,0,-0.152838096,1.71691275,-0.831896663
44100,3,2500,8,0.133512929,0,-0.133512929,1.70893276,-0.823382318
44100,3,2500,7,0.115226172,0,-0.115226172,1.70010138,-0.813959479
44100,3,2500,6,0.097797215,0,-0.097797215,1.6902746,-0.803474486
44100,3,2500,5,0.0830268636,0,-0.0830268636,1.67449665,-0.786639988
44100,3,2500,4,0.0677884594,0,-0.0677884594,1.65721631,-0.768202245
44100,3,2500,3,0.0523352325,0,-0.0523352325,1.63666677,-0.746276498
44100,3,2500,2,0.0368720256,0,-0.0368720256,1.60753334,-0.715191901
44100,3,2500,1,0.0198019296,0,-0.0198019296,1.57026458,-0.675427318
44100,3,2500,0,0,0,0,0,0
44100,3,2500,-1,-0.0194174275,0,0.0194174275,1.53977406,-0.642894804
44100,3,2500,-2,-0.0355608277,0,0.0355608277,1.55036807,-0.654198289
44100,3,2500,-3,-0.0497324727,0,0.0497324727,1.55527127,-0.659429848
44100,3,2500,-4,-0.0634849146,0,0.0634849146,1.55200815,-0.655948102
44100,3,2500,-5,-0.0766618699,0,0.0766618699,1.54612672,-0.649672806
44100,3,2500,-6,-0.0890849531,0,0.0890849531,1.53969646,-0.642812073
44100,3,2500,-7,-0.103320897,0,0.103320897,1.52444541,-0.626539528
44100,3,2500,-8,-0.117786862,0,0.117786862,1.50764298,-0.608611882
44100,3,2500,-9,-0.132575512,0,0.132575512,1.48929214,-0.589032054
44100,3,2500,-10,-0.147764459,0,0.147764459,1.46938932,-0.56779623
44100,4,6300,10,0.353533328,0,-0.353533328,1.04309785,-0.672999144
44100,4,6300,9,0.310284019,0,-0.310284019,1.03419828,-0.658725321
44100,4,6300,8,0.269759446,0,-0.269759446,1.02448642,-0.643148541
44100,4,6300,7,0.231590196,0,-0.231590196,1.01384544,-0.626081765
