major minor  #blocks  name

 179        0   61071360 mmcblk0
 179        1          1 mmcblk0p1
 179        2       3072 mmcblk0p2
 179        3       5120 mmcblk0p3
 179        4      10240 mmcblk0p4
 179        5      10240 mmcblk0p5
 179        6        128 mmcblk0p6
 179        7        384 mmcblk0p7
 179        8      16384 mmcblk0p8
 179        9      16384 mmcblk0p9
 179       10       6144 mmcblk0p10
 179       11        512 mmcblk0p11
 179       12       3072 mmcblk0p12
 179       13      10240 mmcblk0p13
 179       14       5120 mmcblk0p14
 179       15       5120 mmcblk0p15
 179       16       1024 mmcblk0p16
 179       17       1024 mmcblk0p17
 179       18       1024 mmcblk0p18
 179       19     819200 mmcblk0p19
 179       20      28672 mmcblk0p20
 179       21        512 mmcblk0p21
 179       22      15360 mmcblk0p22
 179       23     112640 mmcblk0p23
 179       24     102400 mmcblk0p24
 179       25       8192 mmcblk0p25
 179       26     131072 mmcblk0p26
 179       27    1048576 mmcblk0p27
 179       28      40960 mmcblk0p28
 179       29   58662400 mmcblk0p29
 179       96      16384 mmcblk0rpmb
 179       64       4096 mmcblk0boot1
 179       32       4096 mmcblk0boot0
 179      128   31276032 mmcblk1
 179      129   31274960 mmcblk1p1
