partno:    start_sect   nr_sects  partition_name
emmc_p1: 00000400 00000002 "ebr1"
emmc_p2: 00002800 00001800 "pro_info"
emmc_p3: 00004000 00002800 "nvram"
emmc_p4: 00006800 00005000 "protect_f"
emmc_p5: 0000b800 00005000 "protect_s"
emmc_p6: 00010800 00000100 "seccfg"
emmc_p7: 00010900 00000300 "uboot"
emmc_p8: 00010c00 00008000 "bootimg"
emmc_p9: 00018c00 00008000 "recovery"
emmc_p10: 00020c00 00003000 "sec_ro"
emmc_p11: 00023c00 00000400 "misc"
emmc_p12: 00024000 00001800 "logo"
emmc_p13: 00025800 00005000 "expdb"
emmc_p14: 0002a800 00002800 "tee1"
emmc_p15: 0002d000 00002800 "tee2"
emmc_p16: 0002f800 00000800 "kb"
emmc_p17: 00030000 00000800 "dkb"
emmc_p18: 00030800 00000800 "xhrome"
emmc_p19: 00031000 00190000 "android"
emmc_p20: 001c1000 0000e000 "cache"
emmc_p21: 001cf000 00000400 "cm4"
emmc_p22: 001cf400 00007800 "nvp"
emmc_p23: 001d6c00 00037000 "var"
emmc_p24: 0020dc00 00032000 "db"
emmc_p25: 0023fc00 00004000 "option1"
emmc_p26: 00243c00 00040000 "option2"
emmc_p27: 00283c00 00200000 "option3"
emmc_p28: 00483c00 00014000 "usrdata"
emmc_p29: 00497c00 06fe3c00 "contents"
