path	type	machine	soname	needed	interpreter	symtab
bin/6620_launcherA	DYN	ARM		libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/6620_launcherC	DYN	ARM		libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/6620_wmt_concurrency	DYN	ARM		libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/6620_wmt_lpbk	DYN	ARM		libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/EKc_Generator	DYN	ARM		libcutils.so,libglibc_bridge.so,libnetutils.so,libtz_uree.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/alsactl	DYN	ARM		libasound.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/alsaloop	DYN	ARM		libasound.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/alsaucm	DYN	ARM		libasound.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/amidi	DYN	ARM		libasound.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/amixer	DYN	ARM		libasound.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/apl_conn	DYN	ARM		libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/aplay	DYN	ARM		libasound.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/ash	DYN	ARM		libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/autokd	DYN	ARM		libcutils.so,libdl.so.2,libglibc_bridge.so,liblog.so,libnvram.so,libcxxrt.so.1,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/bash	DYN	ARM		libdl.so.2,libc.so.6,ld-linux-armhf.so.3	/lib/ld-linux-armhf.so.3	symbols
bin/bt_drv	DYN	ARM		libpthread.so.0,librt.so.1,libbtdrv.so,libc.so.6,ld-linux-armhf.so.3	/lib/ld-linux-armhf.so.3	stripped
bin/btut	DYN	ARM		libbluetooth.blueangel.so,libbtcust_tab.so,libbtcust.so,librt.so.1,libdl.so.2,libm.so.6,libpthread.so.0,libc.so.6,ld-linux-armhf.so.3	/lib/ld-linux-armhf.so.3	symbols
bin/bugreport	DYN	ARM		liblog.so,libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/check_prereq	DYN	ARM		libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/cmd_bridge	DYN	ARM		libpthread.so.0,librt.so.1,libbtdrv.so,libc.so.6,ld-linux-armhf.so.3	/lib/ld-linux-armhf.so.3	stripped
bin/cxd225x_fwupdater	DYN	ARM		libglibc_bridge.so,libnfcsequencer.so,libcxxrt.so.1,libdl.so.2,libc.so.6,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/dacdat	DYN	ARM		libasound.so,libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/dpfd	DYN	ARM		libcutils.so,libdpframework.so,libglibc_bridge.so,liblog.so,libcxxrt.so.1,libdl.so.2,libc.so.6,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/epprom_nv	DYN	ARM		libc.so.6,libcustom_nvram.so,libcutils.so,libfile_op.so,libglibc_bridge.so,libhwm.so,libnvram.so,libnvram_daemon_callback.so,libcxxrt.so.1,libdl.so.2,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/epprom_nv2	DYN	ARM		libc.so.6,libcustom_nvram.so,libcutils.so,libfile_op.so,libglibc_bridge.so,libhwm.so,libnvram.so,libnvram_daemon_callback.so,libcxxrt.so.1,libdl.so.2,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/epprom_nv2_6630	DYN	ARM		libc.so.6,libcustom_nvram.so,libcutils.so,libfile_op.so,libglibc_bridge.so,libhwm.so,libnvram.so,libnvram_daemon_callback.so,libcxxrt.so.1,libdl.so.2,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/exfatfsck	DYN	ARM		libl10n.so.7.0,libc.so.6,ld-linux-armhf.so.3	/lib/ld-linux-armhf.so.3	symbols
bin/exfatfuse	DYN	ARM		libfuse.so.2,libl10n.so.7.0,librt.so.1,libpthread.so.0,libc.so.6,ld-linux-armhf.so.3	/lib/ld-linux-armhf.so.3	stripped
bin/exfatidentify	DYN	ARM		libc.so.6,ld-linux-armhf.so.3	/lib/ld-linux-armhf.so.3	symbols
bin/ffu	DYN	ARM		libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/flash_bootloader	DYN	ARM		libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/flash_image	DYN	ARM		liblog.so,libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/fsck_msdos	DYN	ARM		libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/fusermount	DYN	ARM		libc.so.6,ld-linux-armhf.so.3	/lib/ld-linux-armhf.so.3	symbols
bin/fwfb	DYN	ARM		libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/fwpchk	DYN	ARM		libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/fwpup	DYN	ARM		libcutils.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libz.so,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/grep	DYN	ARM		libz.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
bin/gzip	DYN	ARM		libz.so,libglibc_bridge.so,libcxxrt.so.1,libdl.so.2,libc.so.6,ld-linux-armhf.so.3,librt.so.1,libpthread.so.0,libc++.so.1,libm.so.6,libgcc_s.so.1	/lib/ld-linux-armhf.so.3	stripped
