path	type	mode	size	sha256	link_target
[SYS]	dir	0o755			
bin	dir	0o755			
boot	dir	0o755			
build.prop	file	0o600	2232	f645f601d46d7b9448b7c4b9f1b69c357c19b2e28373b9b5465654fe973779f8	
etc	dir	0o755			
factory	dir	0o755			
lib	dir	0o755			
lost+found	dir	0o700			
media	dir	0o755			
usr	dir	0o755			
vendor	dir	0o755			
xbin	dir	0o755			
[SYS]/Journal	file	0o600	13107200	2ed0b91d6627438fb6663593847bf5be09152553462bbab150ec3aa01f74d2ea	
bin/6620_launcherA	file	0o755	28616	70c34b3eba52fc2b13b455e31f0e02d72937c58e02b66e34738ef0d9e28d0030	
bin/6620_launcherC	file	0o755	28616	ad6da7e40574725348d4c93947bb9545685c1b166ecef7d432ac0717bd85e42a	
bin/6620_wmt_concurrency	file	0o755	11320	c63b9091fa53154b407fb81366e55c4a860c9404add871492be385a90de7e4d9	
bin/6620_wmt_lpbk	file	0o755	11324	a231039b2841ffa4b6f6da2185c0d2ae56ba4760447df8a3cda271ade38219e6	
bin/EKc_Generator	file	0o755	11276	6bae6d6bae7a330857da0ccebe1ab5a0c53ed544b742da57b0e0b1f5e05a1694	
bin/alsactl	file	0o755	75380	33af731b80caf9730adb950deedbad14726da3f4bd42e644f3795955f6b31c08	
bin/alsaloop	file	0o755	54912	cf8eb385877ba44633d45c67b840d5b6c91207557236b8440cd2d95d2a990500	
bin/alsaucm	file	0o755	14120	880c2a05c8eb529c0c9bceb5bb42aa7ea046e39b6a7b9f6510a82f5d8c7b1631	
bin/amidi	file	0o755	18028	174d96a2d6303b95d0bcd9faf18d24542d85e8aaf5813ec484fdaf0ecb7b6711	
bin/amixer	file	0o755	38568	586ecfade0734d631f8226aa0679220714fc6571cb2fb72e697ca3cf40d443ab	
bin/apl_conn	file	0o755	15416	ca7154279198605a226f5a2e9a53175c05dd3550b6f8b93834a30917f6f34a93	
bin/aplay	file	0o755	59016	20b450a10bc58b68f90f1a9a1871eaf694747d3b81c2b6b6a6e3f3fa25e54f89	
bin/ash	file	0o755	104352	ca58e63179977665ef838cfaf1b26fd918276143e5434f06265b414226d11889	
bin/autokd	file	0o755	23604	49d3d66cd8784ddd0dc25475715083db73c6edd3dd856021d72e8ed0fa00bcb4	
