path	type	machine	soname	needed	interpreter	symtab
devel/bin/busybox	EXEC	ARM		libm.so.6,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/ld-2.11.2.so	DYN	ARM	ld-linux.so.3			stripped
devel/lib/libBrokenLocale-2.11.2.so	DYN	ARM	libBrokenLocale.so.1	libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libSegFault.so	DYN	ARM	libSegFault.so	libc.so.6,ld-linux.so.3	/devel/lib/ld-linux.so.3	stripped
devel/lib/libanl-2.11.2.so	DYN	ARM	libanl.so.1	libc.so.6,libpthread.so.0	/devel/lib/ld-linux.so.3	stripped
devel/lib/libc-2.11.2.so	DYN	ARM	libc.so.6	ld-linux.so.3	/devel/lib/ld-linux.so.3	stripped
devel/lib/libcrypt-2.11.2.so	DYN	ARM	libcrypt.so.1	libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libdl-2.11.2.so	DYN	ARM	libdl.so.2	libc.so.6,ld-linux.so.3	/devel/lib/ld-linux.so.3	stripped
devel/lib/libm-2.11.2.so	DYN	ARM	libm.so.6	ld-linux.so.3,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libmemusage.so	DYN	ARM	libmemusage.so	libdl.so.2,ld-linux.so.3,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libnsl-2.11.2.so	DYN	ARM	libnsl.so.1	libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libnss_compat-2.11.2.so	DYN	ARM	libnss_compat.so.2	libnsl.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libnss_dns-2.11.2.so	DYN	ARM	libnss_dns.so.2	libresolv.so.2,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libnss_files-2.11.2.so	DYN	ARM	libnss_files.so.2	libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libnss_hesiod-2.11.2.so	DYN	ARM	libnss_hesiod.so.2	libresolv.so.2,libnss_files.so.2,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libnss_nis-2.11.2.so	DYN	ARM	libnss_nis.so.2	libnsl.so.1,libnss_files.so.2,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libnss_nisplus-2.11.2.so	DYN	ARM	libnss_nisplus.so.2	libnsl.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libpcprofile.so	DYN	ARM	libpcprofile.so	libc.so.6,ld-linux.so.3	/devel/lib/ld-linux.so.3	stripped
devel/lib/libproc-3.2.7.so	DYN	ARM	libproc-3.2.7.so	libc.so.6,libgcc_s.so.1		stripped
devel/lib/libpthread-2.11.2.so	DYN	ARM	libpthread.so.0	libc.so.6,ld-linux.so.3	/devel/lib/ld-linux.so.3	stripped
devel/lib/libresolv-2.11.2.so	DYN	ARM	libresolv.so.2	libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/librt-2.11.2.so	DYN	ARM	librt.so.1	libc.so.6,libpthread.so.0,ld-linux.so.3	/devel/lib/ld-linux.so.3	stripped
devel/lib/libthread_db-1.0.so	DYN	ARM	libthread_db.so.1	libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/libutil-2.11.2.so	DYN	ARM	libutil.so.1	libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/lib/modules/cs47L01_a.ko	REL	ARM				symbols
devel/lib/modules/cs47L01_d.ko	REL	ARM				symbols
devel/lib/modules/cxd3774gf_d.ko	REL	ARM				symbols
devel/lib/modules/ehci-hcd.ko	REL	ARM				symbols
devel/lib/modules/em_ave.ko	REL	ARM				symbols
devel/lib/modules/emxx_udc.ko	REL	ARM				symbols
devel/lib/modules/ev0regs.ko	REL	ARM				symbols
devel/lib/modules/g_nwm.ko	REL	ARM				symbols
devel/lib/modules/g_nwm_msc.ko	REL	ARM				symbols
devel/lib/modules/g_nwm_mtp.ko	REL	ARM				symbols
devel/lib/modules/icx_bt.ko	REL	ARM				symbols
devel/lib/modules/icx_carddet.ko	REL	ARM				symbols
devel/lib/modules/icx_ml86v76580.ko	REL	ARM				symbols
devel/lib/modules/icx_noican_cmn.ko	REL	ARM				symbols
devel/lib/modules/icx_nvp_emmc.ko	REL	ARM				symbols
devel/lib/modules/icx_rtc_extend.ko	REL	ARM				symbols
devel/lib/modules/icx_si470x_radio_tuner.ko	REL	ARM				symbols
devel/lib/modules/icx_touch_screen.ko	REL	ARM				symbols
devel/lib/modules/icx_usbconn.ko	REL	ARM				symbols
devel/lib/modules/inter_dsp.ko	REL	ARM				symbols
devel/lib/modules/mg.ko	REL	ARM				symbols
devel/lib/modules/mgscc.ko	REL	ARM				symbols
devel/lib/modules/mgscsi.ko	REL	ARM				symbols
devel/lib/modules/ohci-hcd.ko	REL	ARM				symbols
devel/lib/modules/regmon.ko	REL	ARM				symbols
devel/lib/modules/scsi_mod.ko	REL	ARM				symbols
devel/lib/modules/scsi_wait_scan.ko	REL	ARM				symbols
devel/lib/modules/sd_mod.ko	REL	ARM				symbols
devel/lib/modules/sg.ko	REL	ARM				symbols
devel/lib/modules/snd-rawmidi.ko	REL	ARM				symbols
devel/lib/modules/snd-usb-audio.ko	REL	ARM				symbols
devel/lib/modules/snd-usbmidi-lib.ko	REL	ARM				symbols
devel/lib/modules/tp2016_d.ko	REL	ARM				symbols
devel/lib/modules/usb-storage.ko	REL	ARM				symbols
devel/lib/modules/usbhid.ko	REL	ARM				symbols
devel/lib/modules/wm_key.ko	REL	ARM				symbols
devel/lib/modules/wm_power.ko	REL	ARM				symbols
devel/sbin/e2fsck	EXEC	ARM		libext2fs.so.2,libcom_err.so.2,libblkid.so.1,libuuid.so.1,libe2p.so.2,libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/sbin/mdadm	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	symbols
devel/sbin/mkdosfs.org	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	symbols
devel/sbin/mkfs.ext4	EXEC	ARM		libext2fs.so.2,libcom_err.so.2,libblkid.so.1,libuuid.so.1,libe2p.so.2,libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/sbin/udevcontrol	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/sbin/udevd	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/sbin/udevsettle	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/sbin/udevstart	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/sbin/udevtrigger	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/usr/bin/amixer	EXEC	ARM		libm.so.6,libasound.so.2,libdl.so.2,libpthread.so.0,libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/usr/bin/aplay	EXEC	ARM		libasound.so.2,libm.so.6,libdl.so.2,libpthread.so.0,libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/usr/bin/exfatfsck	EXEC	ARM		libl10n.so.7.0,libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	symbols
devel/usr/bin/exfatfuse	EXEC	ARM		libfuse.so.2,libl10n.so.7.0,librt.so.1,libgcc_s.so.1,libpthread.so.0,libc.so.6	/devel/lib/ld-linux.so.3	symbols
devel/usr/bin/exfatidentify	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	symbols
devel/usr/bin/fusermount	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/usr/bin/mkexfatfs	EXEC	ARM		libl10n.so.7.0,libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	symbols
devel/usr/bin/udevinfo	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/usr/bin/udevtest	EXEC	ARM		libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/usr/bin/ulockmgr_server	EXEC	ARM		libgcc_s.so.1,libpthread.so.0,libc.so.6	/devel/lib/ld-linux.so.3	stripped
devel/usr/bin/vmstat	EXEC	ARM		libproc-3.2.7.so,libgcc_s.so.1,libc.so.6	/devel/lib/ld-linux.so.3	stripped
