path	type	mode	size	sha256	link_target
allcontents	dir	0o755			
bin	link	0o777			devel/bin
contents	dir	0o755			
db	dir	0o755			
dev	dir	0o755			
devel	dir	0o755			
etc	dir	0o755			
home	dir	0o755			
init	link	0o777			etc/rc.d/icx_init
install_script	dir	0o755			
lib	link	0o777			devel/lib
linuxrc	link	0o777			etc/rc.d/icx_init
mnt	dir	0o755			
proc	dir	0o755			
root	dir	0o755			
sbin	link	0o777			devel/sbin
sys	dir	0o755			
tmp	dir	0o755			
usr	link	0o777			devel/usr
var	dir	0o755			
allcontents/ext	link	0o777			../mnt/media
allcontents/int	link	0o777			../contents
devel/bin	dir	0o755			
devel/etc	dir	0o755			
devel/lib	dir	0o755			
devel/sbin	dir	0o755			
devel/usr	dir	0o755			
devel/var	dir	0o755			
devel/bin/addgroup	link	0o777			busybox
devel/bin/adduser	link	0o777			busybox
devel/bin/ash	link	0o777			busybox
devel/bin/base64	link	0o777			busybox
devel/bin/bash	link	0o777			../usr/bin/bash
devel/bin/busybox	file	0o755	904580	a10f4da4d64fbc68823ae88b21001fa9e718e77ec76f884d172d50216069b955	
devel/bin/cat	link	0o777			busybox
devel/bin/catv	link	0o777			busybox
devel/bin/chattr	link	0o777			busybox
devel/bin/chgrp	link	0o777			busybox
devel/bin/chmod	link	0o777			busybox
devel/bin/chown	link	0o777			busybox
devel/bin/cp	link	0o777			busybox
devel/bin/cpio	link	0o777			busybox
devel/bin/cttyhack	link	0o777			busybox
devel/bin/date	link	0o777			busybox
devel/bin/dd	link	0o777			busybox
devel/bin/delgroup	link	0o777			busybox
devel/bin/deluser	link	0o777			busybox
devel/bin/df	link	0o777			busybox
devel/bin/dmesg	link	0o777			busybox
devel/bin/dnsdomainname	link	0o777			busybox
devel/bin/dumpkmap	link	0o777			busybox
devel/bin/echo	link	0o777			busybox
devel/bin/ed	link	0o777			busybox
devel/bin/egrep	link	0o777			busybox
devel/bin/false	link	0o777			busybox
devel/bin/fdflush	link	0o777			busybox
devel/bin/fgrep	link	0o777			busybox
devel/bin/fsync	link	0o777			busybox
devel/bin/getopt	link	0o777			busybox
devel/bin/grep	link	0o777			busybox
devel/bin/gunzip	link	0o777			busybox
devel/bin/gzip	link	0o777			busybox
devel/bin/hostname	link	0o777			busybox
devel/bin/hush	link	0o777			busybox
devel/bin/ionice	link	0o777			busybox
devel/bin/iostat	link	0o777			busybox
devel/bin/ip	link	0o777			busybox
devel/bin/ipaddr	link	0o777			busybox
devel/bin/ipcalc	link	0o777			busybox
devel/bin/iplink	link	0o777			busybox
devel/bin/iproute	link	0o777			busybox
devel/bin/iprule	link	0o777			busybox
devel/bin/iptunnel	link	0o777			busybox
devel/bin/kill	link	0o777			busybox
devel/bin/linux32	link	0o777			busybox
devel/bin/linux64	link	0o777			busybox
devel/bin/ln	link	0o777			busybox
devel/bin/login	link	0o777			busybox
devel/bin/ls	link	0o777			busybox
devel/bin/lsattr	link	0o777			busybox
devel/bin/lzop	link	0o777			busybox
devel/bin/makemime	link	0o777			busybox
devel/bin/mkdir	link	0o777			busybox
